 'species'::'rioter','cycle'::rioter_cyclesi,'time'::rioter_timesi,'name'::rioter_namesi,'x'::rioter_x_locsi,'y'::rioter_y_locsi,'state_flock'::rioter_is_in_state_flocki,'state_violent'::rioter_is_in_state_violenti,'state_retreat'::rioter_is_in_state_retreati,'spatial_incursion_detected'::rioter_spatial_incursion_detectedi,'outnumbered_detected'::rioter_outnumbered_detectedi,'feeling_target_for_arrest_detected'::rioter_feeling_target_for_arrest_detectedi,'being_arrested_detected'::rioter_being_arrested_detectedi,'unjust_arrest_around_detected'::rioter_unjust_arrest_around_detectedi,'surrounded_detected'::rioter_surrounded_detectedi,'any_police_officer_around_detected'::rioter_any_police_officer_around_detectedi,'order_to_scatter_signal_detected'::rioter_order_to_scatter_signal_detectedi,'arrest_around_detected'::rioter_arrest_around_detectedi,'has_fear_confirmed'::rioter_has_fear_confirmedi,'has_fear'::rioter_has_feari,'has_anger'::rioter_has_angeri,'has_sadness'::rioter_has_sadnessi,'has_joy'::rioter_has_joyi,'grievance'::rioter_grievancei,'arrest_proba'::rioter_arrest_probai,'aggr_police_social_liking'::rioter_aggr_police_social_likingi,'record_damage_done'::rioter_record_damage_donei,'risk_aversion'::rioter_risk_aversioni,'police_social_liking_influence'::rioter_police_social_liking_influencei,'felt_negative_emotions'::rioter_felt_negative_emotionsi,'feel_strong_negative_emotions'::rioter_feel_strong_negative_emotionsi,'current_energy'::rioter_current_energyi 
rioter,0,0.0,rioter76,14.447701413620692,32.45652798306796,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.35980626596424214,0.0,0.0,0.0,0.6801429625378634,1.0,0.0,false,300.0
rioter,0,0.0,rioter77,18.754323772343962,24.922593898732632,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.549559255483533,0.0,0.0,0.0,0.2548116511946463,1.0,0.0,false,300.0
rioter,0,0.0,rioter78,42.540501895029635,22.962392627181583,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5445404384342196,0.0,0.0,0.0,0.6086582057440731,1.0,0.0,false,300.0
rioter,0,0.0,rioter79,41.68104993382716,20.629624157135762,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.035458698593961,0.0,0.0,0.0,0.8600339896804432,1.0,0.0,false,300.0
rioter,0,0.0,rioter80,13.786786242824862,20.52189569393435,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.0854178127076457,0.0,0.0,0.0,0.7297371418394493,1.0,0.0,false,300.0
rioter,0,0.0,rioter81,15.731218233636202,33.49636671160032,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.9282135173852474,0.0,0.0,0.0,0.25702561655422806,1.0,0.0,false,300.0
rioter,0,0.0,rioter82,15.95752387309353,32.07626852165439,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.30105184106078364,0.0,0.0,0.0,0.7236565993548286,1.0,0.0,false,300.0
rioter,0,0.0,rioter83,31.765554737179258,17.032278473961114,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.769722876861206,0.0,0.0,0.0,0.7266616215641789,1.0,0.0,false,300.0
rioter,0,0.0,rioter84,11.715045376583767,23.037372523791515,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8008115467553797,0.0,0.0,0.0,0.09776047579483704,1.0,0.0,false,300.0
rioter,0,0.0,rioter85,8.299154865783018,32.78680836497149,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.9571778076728403,0.0,0.0,0.0,0.43976276611833975,1.0,0.0,false,300.0
rioter,0,0.0,rioter86,17.80591541530725,20.31282263624524,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.33748655391413285,0.0,0.0,0.0,0.3723639332437827,1.0,0.0,false,300.0
rioter,0,0.0,rioter87,1.4043757765289855,17.14379362198972,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4966605656980806,0.9989922145709514,0.0,0.0,0.00931284906803076,1.0,0.0,false,300.0
rioter,0,0.0,rioter88,1.958816823974731,24.88664421414098,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.04342711249988163,0.0,0.0,0.0,0.8671067935070597,1.0,0.0,false,300.0
rioter,0,0.0,rioter89,39.62087261193906,26.562030528832484,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8971489626189404,0.0,0.0,0.0,0.0707624328099723,1.0,0.0,false,300.0
rioter,0,0.0,rioter90,10.82019956865857,28.382919675688616,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.2399078459166255,0.0,0.0,0.0,0.5180531913153,1.0,0.0,false,300.0
rioter,0,0.0,rioter91,31.375028452562766,20.240718681037638,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.9205763869187257,0.0,0.0,0.0,0.48818674794001116,1.0,0.0,false,300.0
rioter,0,0.0,rioter92,12.09742475760074,28.077306774321276,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5291488859998014,0.0,0.0,0.0,0.3153039121931809,1.0,0.0,false,300.0
rioter,0,0.0,rioter93,15.586413124503766,27.9466042929657,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5450375806379858,0.0,0.0,0.0,0.27397192876932885,1.0,0.0,false,300.0
